Sr. No,Date,Location,CtN,CtE,CtRdRp,PCR_Result
1461,23/11/2022,"RTO Office, Alandi road, Yerwada",0,0,0,Negative
1462,23/11/2022,"Shantinagar, Vishrantwadi",0,0,0,Negative
1463,24/11/2022,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
1464,24/11/2022,"Shastri Nagar, Pimpri",0,0,0,Negative
1465,24/11/2022,"Kasarwadi, Pimple gurav road",0,0,0,Negative
1466,24/11/2022,"60/feet road, Pimple Gurav",0,0,0,Negative
1467,24/11/2022,Dapodi/Sangvi,0,0,0,Negative
1468,25/11/2022,"Rahatani, New DP road",0,0,0,Negative
1469,25/11/2022,"Wolf Colony, Pimpri",0,0,0,Negative
1470,25/11/2022,"Dapodi, Sai service",0,0,0,Negative
1471,25/11/2022,Dapodi Harris Bridge,0,0,0,Negative
1472,28/11/2022,"Shivajinagar, Vaidhwadi Nala catchment",0,0,0,Negative
1473,28/11/2022,"Shivajinagar, Chaturshrungi Nala Catchment",0,0,0,Negative
1474,28/11/2022,Kothrud Sanjeevan hospital,0,0,0,Negative
1475,28/11/2022,Kothrud Karve road,0,0,0,Negative
1476,28/11/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",0,0,0,Negative
1477,28/11/2022,"Bus Depot (main), Kothrud",0,39.19,0,Negative
1478,29/11/2022," Jai Bhavani Nagar, Pashan",0,38.82,0,Negative
1479,29/11/2022,"  Someshwarwadi, Pashan",0,38.13,0,Negative
1480,29/11/2022,Aundh,0,0,0,Negative
1481,29/11/2022,"Balewadi Phata, Baner",0,0,0,Negative
1482,29/11/2022,"Mahalunge Road, Baner",0,0,0,Negative
1483,29/11/2022,"DP road, Botanical Garden, Aundh,",0,0,0,Negative
1484,30/11/2022," Dattawadi, Rajaram Bridge",0,39.6,0,Negative
1485,30/11/2022,Vitthalwadi/Hingne Shantinagar,0,38.7,0,Negative
1486,30/11/2022," Kasba Peth, Juna Bazaar, Shivajinagar",0,37.44,0,Negative
1487,30/11/2022,"RTO Office, Alandi road, Yerwada",0,39.99,0,Negative
1488,30/11/2022,"Shantinagar, Vishrantwadi",0,0,0,Negative
1489,12/1/2022,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
1490,12/1/2022,"Shastri Nagar, Pimpri",0,0,0,Negative
1491,12/1/2022,"Kasarwadi, Pimple gurav road",0,0,0,Negative
1492,12/1/2022,"60/feet road, Pimple Gurav",0,39.56,0,Negative
1493,12/1/2022,Dapodi/Sangvi,0,40.54,0,Negative
1494,12/2/2022,"Rahatani, New DP road",0,36.98,0,Negative
1495,12/2/2022,"Wolf Colony, Pimpri",0,0,0,Negative
1496,12/2/2022,"Dapodi, Sai service",0,0,0,Negative
1497,12/2/2022,Dapodi Harris Bridge,0,0,0,Negative
1498,12/5/2022,"Shivajinagar, Vaidhwadi Nala catchment",0,0,0,Negative
1499,12/5/2022,"Shivajinagar, Chaturshrungi Nala Catchment",0,0,0,Negative
1500,12/5/2022,Kothrud Karve road,0,0,0,Negative
1501,12/5/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",0,0,0,Negative
1502,12/5/2022,"Bus Depot (main), Kothrud",0,0,0,Negative
1503,20/12/2022,"Mahalunge Road, Baner",0,38.64,0,Negative
1504,20/12/2022,"Balewadi Phata, Baner",0,0,0,Negative
1505,20/12/2022,Aundh,0,0,0,Negative
1506,20/12/2022,"  Someshwarwadi, Pashan",0,0,0,Negative
1507,20/12/2022," Jai Bhavani Nagar, Pashan",0,37.23,0,Negative
1508,20/12/2022,"DP road, Botanical Garden, Aundh,",0,0,0,Negative
1509,20/12/2022,"Shivajinagar, Vaidhwadi Nala catchment",0,0,0,Negative
1510,20/12/2022,"Shivajinagar, Chaturshrungi Nala Catchment",0,0,0,Negative
1511,21/12/2022," Dattawadi, Rajaram Bridge",0,0,0,Negative
1512,21/12/2022,Vitthalwadi/Hingne Shantinagar,0,0,0,Negative
1513,21/12/2022," Kasba Peth, Juna Bazaar, Shivajinagar",0,38.47,0,Negative
1514,21/12/2022,"RTO Office, Alandi road, Yerwada",0,37.08,0,Negative
1515,21/12/2022,"Shantinagar, Vishrantwadi",0,37.49,0,Negative
1516,22/12/2022,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
1517,22/12/2022,"Shastri Nagar, Pimpri",0,0,0,Negative
1518,22/12/2022,"Kasarwadi, Pimple gurav road",0,0,0,Negative
1519,22/12/2022,"60/feet road, Pimple Gurav",0,0,0,Negative
1520,22/12/2022,Dapodi/Sangvi,0,0,0,Negative
1521,23/12/2022,"Rahatani, New DP road",0,39.26,0,Negative
1522,23/12/2022,"Wolf Colony, Pimpri",0,38.39,0,Negative
1523,23/12/2022,"Dapodi, Sai service",0,37.38,0,Negative
1524,23/12/2022,Dapodi Harris Bridge,0,0,0,Negative
1525,26/12/2022,"Shivajinagar, Vaidhwadi Nala catchment",0,0,0,Negative
1526,26/12/2022,"Shivajinagar, Chaturshrungi Nala Catchment",37.81,0,0,Negative
1527,26/12/2022,Kothrud Sanjeevan hospital,0,0,0,Negative
1528,26/12/2022,Kothrud Karve road,0,0,0,Negative
1529,26/12/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",0,0,0,Negative
1530,26/12/2022,"Bus Depot (main), Kothrud",0,0,0,Negative
1531,27/12/2022,"Mahalunge Road, Baner",0,0,0,Negative
1532,27/12/2022,"Balewadi Phata, Baner",0,0,0,Negative
1533,27/12/2022,Aundh,0,0,0,Negative
1534,27/12/2022,"  Someshwarwadi, Pashan",0,0,0,Negative
1535,27/12/2022," Jai Bhavani Nagar, Pashan",0,0,0,Negative
1536,27/12/2022,"DP road, Botanical Garden, Aundh,",0,0,0,Negative
1537,28/12/2022,"Shantinagar, Vishrantwadi",0,0,0,Negative
1538,28/12/2022,"RTO Office, Alandi road, Yerwada",0,0,0,Negative
1539,28/12/2022," Kasba Peth, Juna Bazaar, Shivajinagar",0,0,0,Negative
1540,28/12/2022," Dattawadi, Rajaram Bridge",0,0,0,Negative
1541,28/12/2022,Vitthalwadi/Hingne Shantinagar,0,0,0,Negative
1542,29/12/2022,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
1543,29/12/2022,"Shastri Nagar, Pimpri",0,0,0,Negative
1544,29/12/2022,"Kasarwadi, Pimple gurav road",0,0,0,Negative
1545,29/12/2022,"60/feet road, Pimple Gurav",0,0,0,Negative
1546,29/12/2022,Dapodi/Sangvi,0,0,0,Negative
1547,30/12/2022,"Rahatani, New DP road",0,0,0,Negative
1548,30/12/2022,"Wolf Colony, Pimpri",0,0,0,Negative
1549,30/12/2022,"Dapodi, Sai service",0,0,0,Negative
1550,30/12/2022,Dapodi Harris Bridge,0,0,0,Negative
1551,1/2/2023,"Shivajinagar, Vaidhwadi Nala catchment",0,0,0,Negative
1552,1/2/2023,"Shivajinagar, Chaturshrungi Nala Catchment",0,0,0,Negative
1553,1/2/2023,Kothrud Sanjeevan hospital,0,0,0,Negative
1554,1/2/2023,Kothrud Karve road,0,0,0,Negative
1555,1/2/2023,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",0,0,0,Negative
1556,1/2/2023,"Bus Depot (main), Kothrud",0,0,0,Negative
1557,1/3/2023,"Mahalunge Road, Baner",0,0,0,Negative
1558,1/3/2023,"Balewadi Phata, Baner",0,0,0,Negative
1559,1/3/2023,Aundh,0,0,0,Negative
1560,1/3/2023,"  Someshwarwadi, Pashan",0,0,0,Negative
1561,1/3/2023," Jai Bhavani Nagar, Pashan",0,0,0,Negative
1562,1/3/2023,"DP road, Botanical Garden, Aundh,",0,0,0,Negative
1563,1/4/2023,"Shantinagar, Vishrantwadi",0,0,0,Negative
1564,1/4/2023,"RTO Office, Alandi road, Yerwada",0,0,0,Negative
1565,1/4/2023," Kasba Peth, Juna Bazaar, Shivajinagar",0,0,0,Negative
1566,1/4/2023," Dattawadi, Rajaram Bridge",0,0,0,Negative
1567,1/5/2023,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
1568,1/5/2023,"Shastri Nagar, Pimpri",0,0,0,Negative
1569,1/5/2023,"Kasarwadi, Pimple gurav road",0,0,0,Negative
1570,1/5/2023,"60/feet road, Pimple Gurav",0,0,0,Negative
1571,1/5/2023,Dapodi/Sangvi,0,0,0,Negative
1572,1/6/2023,"Rahatani, New DP road",0,37.63,36.43,Negative
1573,1/6/2023,"Wolf Colony, Pimpri",0,0,0,Negative
1574,1/6/2023,"Dapodi, Sai service",0,0,0,Negative
1575,1/6/2023,Dapodi Harris Bridge,0,0,0,Negative
1576,1/9/2023,"Shivajinagar, Vaidhwadi Nala catchment",0,0,0,Negative
1577,1/9/2023,"Shivajinagar, Chaturshrungi Nala Catchment",0,0,0,Negative
1578,1/9/2023,Kothrud Sanjeevan hospital,0,0,0,Negative
1579,1/9/2023,Kothrud Karve road,0,0,0,Negative
1580,1/9/2023,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",0,0,0,Negative
1581,1/9/2023,"Bus Depot (main), Kothrud",0,0,0,Negative
1582,1/10/2023,"Mahalunge Road, Baner",0,0,0,Negative
1583,1/10/2023,"Balewadi Phata, Baner",0,0,0,Negative
1584,1/10/2023,Aundh,0,0,0,Negative
1585,1/10/2023,"  Someshwarwadi, Pashan",0,0,0,Negative
1586,1/10/2023," Jai Bhavani Nagar, Pashan",0,0,0,Negative
1587,1/10/2023,"DP road, Botanical Garden, Aundh,",0,0,0,Negative
1588,1/11/2023,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
1589,1/11/2023,"Shastri Nagar, Pimpri",0,0,0,Negative
1590,1/11/2023,"Kasarwadi, Pimple gurav road",0,0,0,Negative
1591,1/11/2023,"60/feet road, Pimple Gurav",0,0,0,Negative
1592,1/12/2023," Dattawadi, Rajaram Bridge",0,0,0,Negative
1593,1/12/2023,Vitthalwadi/Hingne Shantinagar,0,0,0,Negative
1594,1/12/2023," Kasba Peth, Juna Bazaar, Shivajinagar",0,0,0,Negative
1595,1/12/2023,"RTO Office, Alandi road, Yerwada",0,0,0,Negative
1596,1/12/2023,"Shantinagar, Vishrantwadi",0,0,0,Negative
1597,13/01/2023,"Rahatani, New DP road",0,0,0,Negative
1598,13/01/2023,"Wolf Colony, Pimpri",0,0,0,Negative
1599,13/01/2023,"Dapodi, Sai service",0,0,0,Negative
1600,13/01/2023,Dapodi Harris Bridge,0,0,0,Negative
1601,16/01/2023,"Shivajinagar, Vaidhwadi Nala catchment",0,0,0,Negative
1602,16/01/2023,"Shivajinagar, Chaturshrungi Nala Catchment",0,0,0,Negative
1603,16/01/2023,Kothrud Sanjeevan hospital,0,0,0,Negative
1604,16/01/2023,Kothrud Karve road,0,0,0,Negative
1605,16/01/2023,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",0,0,0,Negative
1606,16/01/2023,"Bus Depot (main), Kothrud",0,0,0,Negative
1607,17/01/2023,"Mahalunge Road, Baner",38.23,37.94,0,Negative
1608,17/01/2023,Aundh,0,36.15,0,Negative
1609,17/01/2023,"  Someshwarwadi, Pashan",0,0,0,Negative
1610,17/01/2023," Jai Bhavani Nagar, Pashan",0,0,0,Negative
1611,17/01/2023,"DP road, Botanical Garden, Aundh,",0,0,0,Negative
1612,18/01/2023,"Shantinagar, Vishrantwadi",35.49,0,35.64,Negative
1613,18/01/2023,"RTO Office, Alandi road, Yerwada",0,0,0,Negative
1614,18/01/2023," Kasba Peth, Juna Bazaar, Shivajinagar",0,0,0,Negative
1615,18/01/2023," Dattawadi, Rajaram Bridge",0,0,0,Negative
1616,18/01/2023,Vitthalwadi/Hingne Shantinagar,0,36.98,0,Negative
1617,19/01/2023,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
1618,19/01/2023,"Shastri Nagar, Pimpri",0,0,0,Negative
1619,19/01/2023,"Kasarwadi, Pimple gurav road",0,0,0,Negative
1620,19/01/2023,"60/feet road, Pimple Gurav",0,0,0,Negative
1621,19/01/2023,Dapodi/Sangvi,0,0,0,Negative
1622,20/01/2023,"Rahatani, New DP road",0,0,0,Negative
1623,20/01/2023,"Wolf Colony, Pimpri",0,36.16,0,Negative
1624,20/01/2023,"Dapodi, Sai service",0,39.56,0,Negative
1625,20/01/2023,Dapodi Harris Bridge,0,0,0,Negative
1626,23/01/2023,"Shivajinagar, Vaidhwadi Nala catchment",0,0,0,Negative
1627,23/01/2023,"Shivajinagar, Chaturshrungi Nala Catchment",0,0,0,Negative
1628,23/01/2023,Kothrud Sanjeevan hospital,0,0,0,Negative
1629,23/01/2023,Kothrud Karve road,0,0,0,Negative
1630,23/01/2023,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",0,0,0,Negative
1631,23/01/2023,"Bus Depot (main), Kothrud",0,0,0,Negative
1632,24/01/2023,"Mahalunge Road, Baner",0,0,0,Negative
1633,24/01/2023,"Balewadi Phata, Baner",0,0,0,Negative
1634,24/01/2023,Aundh,0,0,0,Negative
1635,24/01/2023,"  Someshwarwadi, Pashan",0,0,0,Negative
1636,24/01/2023," Jai Bhavani Nagar, Pashan",0,0,0,Negative
1637,24/01/2023,"DP road, Botanical Garden, Aundh,",0,0,0,Negative
1638,25/01/2023,"Shantinagar, Vishrantwadi",0,0,0,Negative
1639,25/01/2023,"RTO Office, Alandi road, Yerwada",0,0,0,Negative
1640,25/01/2023," Kasba Peth, Juna Bazaar, Shivajinagar",0,0,0,Negative
1641,28/01/2023,"Rahatani, New DP road",0,0,0,Negative
1642,28/01/2023,"Wolf Colony, Pimpri",0,0,0,Negative
1643,28/01/2023,"Dapodi, Sai service",0,0,0,Negative
1644,28/01/2023,Dapodi Harris Bridge,0,0,0,Negative
1645,30/01/2023,"Shivajinagar, Vaidhwadi Nala catchment",0,0,0,Negative
1646,30/01/2023,"Shivajinagar, Chaturshrungi Nala Catchment",0,0,0,Negative
1647,30/01/2023,Kothrud Sanjeevan hospital,0,0,0,Negative
1648,30/01/2023,Kothrud Karve road,0,0,0,Negative
1649,30/01/2023,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",0,0,0,Negative
1650,30/01/2023,"Bus Depot (main), Kothrud",0,0,0,Negative
1651,31/01/2023,"Mahalunge Road, Baner",0,0,0,Negative
1652,31/01/2023,"Balewadi Phata, Baner",0,0,0,Negative
1653,31/01/2023,Aundh,0,0,0,Negative
1654,31/01/2023,"  Someshwarwadi, Pashan",0,0,0,Negative
1655,31/01/2023," Jai Bhavani Nagar, Pashan",0,0,0,Negative
1656,31/01/2023,"DP road, Botanical Garden, Aundh,",0,0,0,Negative
1657,2/1/2023," Dattawadi, Rajaram Bridge",0,0,0,Negative
1658,2/1/2023,Vitthalwadi/Hingne Shantinagar,0,0,0,Negative
1659,2/1/2023," Kasba Peth, Juna Bazaar, Shivajinagar",0,0,0,Negative
1660,2/1/2023,"RTO Office, Alandi road, Yerwada",0,0,0,Negative
1661,2/1/2023,"Shantinagar, Vishrantwadi",0,0,0,Negative
1662,2/2/2023,"Aditya Birla Hospital Road, Under bridge",37.27,0,0,Negative
1663,2/2/2023,"Shastri Nagar, Pimpri",27.89,0,0,Negative
1664,2/2/2023,"60/feet road, Pimple Gurav",0,0,0,Negative
1665,2/2/2023,"Kasarwadi, Pimple gurav road",0,0,0,Negative
1666,2/2/2023,Dapodi/Sangvi,0,0,0,Negative
1667,2/3/2023,"Rahatani, New DP road",0,0,0,Negative
1668,2/3/2023,"Wolf Colony, Pimpri",0,0,0,Negative
1669,2/3/2023,"Dapodi, Sai service",0,0,0,Negative
1670,2/3/2023,Dapodi Harris Bridge,38.78,0,0,Negative
1671,2/6/2023,"Shivajinagar, Vaidhwadi Nala catchment",0,0,0,Negative
1672,2/6/2023,"Shivajinagar, Chaturshrungi Nala Catchment",0,0,0,Negative
1673,2/6/2023,Kothrud Sanjeevan hospital,0,0,0,Negative
1674,2/6/2023,Kothrud Karve road,0,0,0,Negative
1675,2/6/2023,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",0,0,0,Negative
1676,2/6/2023,"Bus Depot (main), Kothrud",0,0,0,Negative
1677,2/7/2023,"Mahalunge Road, Baner",0,38.32,0,Negative
1678,2/7/2023,"Balewadi Phata, Baner",0,40.22,0,Negative
1679,2/7/2023,Aundh,0,0,0,Negative
1680,2/7/2023,"  Someshwarwadi, Pashan",35.6,0,0,Negative
1681,2/7/2023," Jai Bhavani Nagar, Pashan",0,0,0,Negative
1682,2/7/2023,"DP road, Botanical Garden, Aundh,",37.3,0,0,Negative
1683,2/8/2023,"Shantinagar, Vishrantwadi",0,0,0,Negative
1684,2/8/2023,"RTO Office, Alandi road, Yerwada",0,39.9,0,Negative
1685,2/8/2023," Kasba Peth, Juna Bazaar, Shivajinagar",0,0,0,Negative
1686,2/8/2023," Dattawadi, Rajaram Bridge",0,39.63,0,Negative
1687,2/8/2023,Vitthalwadi/Hingne Shantinagar,39.93,0,0,Negative
1688,2/9/2023,"Aditya Birla Hospital Road, Under bridge",32.69,0,0,Negative
1689,2/9/2023,"Shastri Nagar, Pimpri",36.2,0,0,Negative
1690,2/9/2023,"Kasarwadi, Pimple gurav road",0,0,0,Negative
1691,2/9/2023,"60/feet road, Pimple Gurav",36.4,0,0,Negative
1692,2/9/2023,Dapodi/Sangvi,0,0,0,Negative
1693,2/10/2023,Dapodi Harris Bridge,0,36.67,0,Negative
1694,2/10/2023,"Dapodi, Sai service",0,35.15,0,Negative
1695,2/10/2023,"Rahatani, New DP road",33.32,0,0,Negative
1696,13/02/2023,"Shivajinagar, Vaidhwadi Nala catchment",0,0,0,Negative
1697,13/02/2023,"Shivajinagar, Chaturshrungi Nala Catchment",33.33,0,36.82,Negative
1698,13/02/2023,Kothrud Sanjeevan hospital,28.81,37.72,35.69,Positive
1699,13/02/2023,Kothrud Karve road,38.57,0,0,Negative
1700,13/02/2023,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",35.49,0,0,Negative
1701,13/02/2023,"Bus Depot (main), Kothrud",37.68,0,0,Negative
1702,14/02/2023,"Mahalunge Road, Baner",0,37.21,0,Negative
1703,14/02/2023,"Balewadi Phata, Baner",0,35.16,0,Negative
1704,14/02/2023,Aundh,17.99,0,0,Negative
1705,14/02/2023,"  Someshwarwadi, Pashan",28.23,0,0,Negative
1706,14/02/2023," Jai Bhavani Nagar, Pashan",0,0,0,Negative
1707,14/02/2023,"DP road, Botanical Garden, Aundh,",25.27,38.36,0,Negative
1708,15/02/2023," Dattawadi, Rajaram Bridge",40.26,0,0,Negative
1709,15/02/2023,Vitthalwadi/Hingne Shantinagar,0,0,0,Negative
1710,15/02/2023," Kasba Peth, Juna Bazaar, Shivajinagar",0,35.79,0,Negative
1711,15/02/2023,"RTO Office, Alandi road, Yerwada",0,36.92,40.24,Negative
1712,15/02/2023,"Shantinagar, Vishrantwadi",36.7,0,0,Negative
1713,16/02/2023,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
1714,16/02/2023,"Shastri Nagar, Pimpri",0,0,0,Negative
1715,16/02/2023,"Kasarwadi, Pimple gurav road",0,0,0,Negative
1716,16/02/2023,"60/feet road, Pimple Gurav",35.61,0,0,Negative
1717,17/02/2023,"Kalewadi, Adarsh Nagar",0,0,0,Negative
1718,17/02/2023,"Rahatani, New DP road",32.63,35.07,38.56,Positive
1719,17/02/2023,Dapodi/Sangvi,0,37.26,0,Negative
1720,17/02/2023,Dapodi Harris Bridge,36.8,0,0,Negative
1721,20/02/2023,"Shivajinagar, Vaidhwadi Nala catchment",0,0,0,Negative
1722,20/02/2023,"Shivajinagar, Chaturshrungi Nala Catchment",0,0,0,Negative
1723,20/02/2023,Kothrud Sanjeevan hospital,40.66,39.34,40.52,Negative
1724,20/02/2023,Kothrud Karve road,0,0,0,Negative
1725,20/02/2023,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",0,0,0,Negative
1726,20/02/2023,"Bus Depot (main), Kothrud",0,0,0,Negative
1727,21/02/2023,"Mahalunge Road, Baner",33.77,0,0,Negative
1728,21/02/2023,"Balewadi Phata, Baner",0,0,0,Negative
1729,21/02/2023,Aundh,0,0,0,Negative
1730,21/02/2023,"  Someshwarwadi, Pashan",0,0,0,Negative
1731,21/02/2023," Jai Bhavani Nagar, Pashan",0,0,0,Negative
1732,21/02/2023,"DP road, Botanical Garden, Aundh,",0,0,0,Negative
1733,22/02/2023," Dattawadi, Rajaram Bridge",40.62,0,40.4,Negative
1734,22/02/2023,Vitthalwadi/Hingne Shantinagar,0,38.46,0,Negative
1735,22/02/2023," Kasba Peth, Juna Bazaar, Shivajinagar",35.05,38.41,37.86,Negative
1736,22/02/2023,"RTO Office, Alandi road, Yerwada",0,0,0,Negative
1737,22/02/2023,"Shantinagar, Vishrantwadi",0,0,0,Negative
1738,23/02/2023,"Aditya Birla Hospital Road, Under bridge",0,39.29,0,Negative
1739,23/02/2023,"Shastri Nagar, Pimpri",0,0,0,Negative
1740,23/02/2023,"Kasarwadi, Pimple gurav road",0,0,0,Negative
1741,23/02/2023,"60/feet road, Pimple Gurav",37.86,37.56,37.58,Negative
1742,23/02/2023,Dapodi/Sangvi,0,39.24,0,Negative
1743,24/02/2023,"Rahatani, New DP road",32.51,36.3,36.11,Negative
1744,24/02/2023,"Wolf Colony, Pimpri",0,35.92,0,Negative
1745,24/02/2023,"Dapodi, Sai service",40.9,0,0,Negative
1746,24/02/2023,Dapodi Harris Bridge,0,0,0,Negative
